관리기관명,소재지지번주소,소재지도로명주소,카메라대수,카메라화소,촬영방면정보,보관일수,설치연도,위도,경도,데이터기준일자
광주광역시 사회재난과,광산구 광산동 666-7,광산구 고봉로 905,2,200만,360도,30일,2018,35.22527199,126.7358537,2023-06-30
광주광역시 사회재난과,광산구 도덕동 320-15,광산구 삼도로 342,1,200만,360도,30일,2013,35.16285088,126.6999108,2023-06-30
광주광역시 사회재난과,광산구 도덕동 320-15,광산구 삼도로 342,1,200만,360도,30일,2022,35.16285088,126.6999108,2023-06-30
광주광역시 사회재난과,광산구 도산동 1128-4,광산구 도산로9번길 58,4,200만,360도,30일,2020,35.12705682,126.7893527,2023-06-30
광주광역시 사회재난과,광산구 도산동 1282-1,광산구 남동길48번길 25,1,200만,360도,30일,2013,35.1307386,126.7898652,2023-06-30
광주광역시 사회재난과,광산구 도산동 1282-1,광산구 남동길48번길 25,2,200만,360도,30일,2019,35.1307386,126.7898652,2023-06-30
광주광역시 사회재난과,광산구 도산동 1282-1,광산구 남동길48번길 25,1,200만,360도,30일,2022,35.1307386,126.7898652,2023-06-30
광주광역시 사회재난과,광산구 도산동 1283-6,광산구 남동길 42-13,3,200만,360도,30일,2021,35.13071336,126.7892377,2023-06-30
광주광역시 사회재난과,광산구 도산동 1294-6,광산구 도산로 9,1,200만,360도,30일,2009,35.12906344,126.7915199,2023-06-30
광주광역시 사회재난과,광산구 도산동 1294-6,광산구 도산로 9,1,200만,360도,30일,2018,35.12906344,126.7915199,2023-06-30
광주광역시 사회재난과,광산구 도산동 1294-6,광산구 도산로 9,1,200만,360도,30일,2022,35.12906344,126.7915199,2023-06-30
광주광역시 사회재난과,광산구 도산동 56-5,광산구 송도로212번길 54,2,200만,360도,30일,2022,35.13146327,126.7988718,2023-06-30
광주광역시 사회재난과,광산구 도산동 779-7,광산구 송도로 168-10,1,200만,360도,30일,2008,35.12934978,126.7939849,2023-06-30
광주광역시 사회재난과,광산구 도산동 779-7,광산구 송도로 168-10,1,200만,360도,30일,2021,35.12934978,126.7939849,2023-06-30
광주광역시 사회재난과,광산구 도산동 905-9 ,광산구 신도산길 82,2,200만,360도,30일,2022,35.1331348,126.7920104,2023-06-30
광주광역시 사회재난과,광산구 도천동 621-40,광산구 하남산단8번로 165,3,200만,360도,30일,2020,35.20903272,126.8133215,2023-06-30
광주광역시 사회재난과,광산구 도천동 621-40,광산구 하남산단8번로 165,1,200만,360도,30일,2020,35.20903272,126.8133215,2023-06-30
광주광역시 사회재난과,광산구 도천동 628-1,광산구 비아로62번길 12,1,200만,360도,30일,2013,35.21958482,126.8183376,2023-06-30
광주광역시 사회재난과,광산구 도천동 628-1,광산구 비아로62번길 12,1,200만,360도,30일,2018,35.21958482,126.8183376,2023-06-30
